freq,unit,bmi,geo\TIME_PERIOD	2008 	2014 	2017 	2019 	2022 
A,PC,BMI25-29,AT	36.5 	33.3 	35.0 	35.0 	35.0 
A,PC,BMI25-29,BE	33.5 	35.3 	33.9 	33.9 	33.2 
A,PC,BMI25-29,BG	39.3 	39.2 	45.3 	41.2 	42.0 
A,PC,BMI25-29,CH	: 	: 	31.9 	: 	32.1 u
A,PC,BMI25-29,CY	35.7 	33.8 	38.0 	34.6 	34.5 
A,PC,BMI25-29,CZ	38.3 	37.6 	41.9 u	40.1 	38.7 
A,PC,BMI25-29,DE	36.3 	35.2 	35.3 	34.5 	: u
A,PC,BMI25-29,DK	: 	32.9 	36.5 	34.0 	35.2 
A,PC,BMI25-29,EE	32.5 	33.5 	35.1 u	34.9 	35.2 
A,PC,BMI25-29,EL	38.7 	39.4 	43.2 	41.0 	42.9 
A,PC,BMI25-29,ES	37.3 	35.7 	37.6 	37.8 	36.2 
A,PC,BMI25-29,EU27_2007	: 	: 	36.8 e	: 	: 
A,PC,BMI25-29,EU27_2020	: 	35.7 	36.9 	36.2 	36.5 e
A,PC,BMI25-29,EU28	: 	35.7 	36.8 e	: 	: 
A,PC,BMI25-29,FI	: 	36.4 	40.3 	38.1 	37.8 
A,PC,BMI25-29,FR	31.4 	31.9 	30.7 	32.1 	31.2 
A,PC,BMI25-29,HR	: 	38.7 	42.6 	41.7 	41.3 
A,PC,BMI25-29,HU	34.9 	34.0 	36.3 	35.4 	36.2 
A,PC,BMI25-29,IE	: 	37.0 	41.9 u	: u	33.4 u
A,PC,BMI25-29,IS	: 	38.6 	37.8 	39.7 	: 
A,PC,BMI25-29,IT	: 	34.1 	34.4 	33.9 	34.8 
A,PC,BMI25-29,LT	: 	38.3 	38.7 	37.9 	38.7 u
A,PC,BMI25-29,LU	: 	32.4 	33.3 	31.9 	32.7 
A,PC,BMI25-29,LV	38.0 	35.2 	35.5 	35.3 	37.1 
A,PC,BMI25-29,ME	: 	: 	: 	: 	40.2 
A,PC,BMI25-29,MK	: 	: 	45.2 	: 	: 
A,PC,BMI25-29,MT	36.8 u	35.0 	36.5 	36.1 	36.3 
A,PC,BMI25-29,NL	: 	36.0 	34.0 	35.4 	34.5 
A,PC,BMI25-29,NO	: 	36.2 	35.4 	36.5 	36.7 
A,PC,BMI25-29,PL	37.6 	37.5 	39.2 	39.1 	39.8 u
A,PC,BMI25-29,PT	: 	36.9 	37.6 	38.2 	37.2 
A,PC,BMI25-29,RO	42.4 	46.4 	52.5 	47.7 	49.4 
A,PC,BMI25-29,RS	: 	: 	36.2 	36.3 	40.9 
A,PC,BMI25-29,SE	: 	35.9 	40.1 	36.0 	36.0 
A,PC,BMI25-29,SI	39.8 	37.4 	37.2 	38.2 	37.8 
A,PC,BMI25-29,SK	35.6 	38.0 	40.0 	38.9 	41.3 
A,PC,BMI25-29,TR	34.4 	35.3 	: 	36.5 	: 
A,PC,BMI25-29,UK	: 	35.6 	35.2 u	: 	: 
A,PC,BMI_GE25,AT	49.3 	48.0 	50.0 	52.2 	52.7 
A,PC,BMI_GE25,BE	47.5 	49.3 	48.6 	50.2 	48.9 
A,PC,BMI_GE25,BG	50.8 	54.0 	59.5 	54.9 	53.7 
A,PC,BMI_GE25,CH	: 	: 	43.2 	: 	45.6 u
A,PC,BMI_GE25,CY	51.3 	48.3 	52.7 	49.8 	47.9 
A,PC,BMI_GE25,CZ	56.6 	56.8 	62.3 u	60.0 	56.5 
A,PC,BMI_GE25,DE	52.1 	52.1 	55.2 	53.5 	: u
A,PC,BMI_GE25,DK	: 	47.7 	54.5 	50.4 	54.6 
A,PC,BMI_GE25,EE	51.0 	53.9 	56.1 u	56.7 	57.4 
A,PC,BMI_GE25,EL	56.3 	56.7 	54.8 	57.6 	54.9 
A,PC,BMI_GE25,ES	53.0 	52.4 	51.6 	53.7 	51.2 
A,PC,BMI_GE25,EU27_2007	: 	: 	51.9 e	: 	: 
A,PC,BMI_GE25,EU27_2020	: 	51.1 	51.8 	52.7 	51.3 e
A,PC,BMI_GE25,EU28	: 	51.6 	52.0 e	: 	: 
A,PC,BMI_GE25,FI	: 	54.7 	61.1 	59.0 	59.8 
A,PC,BMI_GE25,FR	43.6 	47.2 	46.0 	47.2 	46.4 
A,PC,BMI_GE25,HR	: 	57.4 	60.9 	64.8 	58.1 
A,PC,BMI_GE25,HU	54.9 	55.2 	56.3 	59.9 	58.4 
A,PC,BMI_GE25,IE	: 	55.7 	57.1 u	: u	53.0 u
A,PC,BMI_GE25,IS	: 	57.6 	59.2 	62.0 	: 
A,PC,BMI_GE25,IT	: 	44.9 	40.3 	45.7 	41.9 
A,PC,BMI_GE25,LT	: 	55.6 	56.2 	56.8 	59.4 u
A,PC,BMI_GE25,LU	: 	48.0 	49.3 	48.4 	49.7 
A,PC,BMI_GE25,LV	54.9 	56.5 	57.0 	58.3 	60.4 
A,PC,BMI_GE25,ME	: 	: 	: 	: 	48.1 
A,PC,BMI_GE25,MK	: 	: 	55.7 	: 	: 
A,PC,BMI_GE25,MT	59.7 u	61.0 	62.2 	64.8 	62.5 
A,PC,BMI_GE25,NL	: 	49.4 	46.9 	50.0 	48.3 
A,PC,BMI_GE25,NO	: 	49.3 	49.1 	50.6 	53.5 
A,PC,BMI_GE25,PL	54.0 	54.7 	56.1 	58.1 	58.4 u
A,PC,BMI_GE25,PT	: 	53.6 	53.3 	55.9 	53.0 
A,PC,BMI_GE25,RO	50.3 	55.8 	62.9 	58.7 	59.7 
A,PC,BMI_GE25,RS	: 	: 	49.5 	53.6 	52.5 
A,PC,BMI_GE25,SE	: 	49.9 	57.5 	51.3 	53.2 
A,PC,BMI_GE25,SI	56.6 	56.6 	54.5 	58.1 	55.7 
A,PC,BMI_GE25,SK	50.7 	54.2 	54.5 	58.7 	58.4 
A,PC,BMI_GE25,TR	50.6 	56.5 	: 	58.8 	: 
A,PC,BMI_GE25,UK	: 	55.7 	56.1 u	: 	: 
A,PC,BMI_GE30,AT	12.8 	14.7 	15.0 	17.1 	17.6 
A,PC,BMI_GE30,BE	14.0 	14.0 	14.7 	16.3 	15.8 
A,PC,BMI_GE30,BG	11.5 	14.8 	14.1 	13.6 	11.7 
A,PC,BMI_GE30,CH	: 	: 	11.3 	: 	13.5 u
A,PC,BMI_GE30,CY	15.6 	14.5 	14.7 	15.2 	13.5 
A,PC,BMI_GE30,CZ	18.3 	19.3 	20.5 u	19.8 	17.8 
A,PC,BMI_GE30,DE	15.8 	16.9 	20.0 	19.0 	: u
A,PC,BMI_GE30,DK	: 	14.9 	18.0 	16.5 	19.4 
A,PC,BMI_GE30,EE	18.5 	20.4 	21.0 u	21.8 	22.1 
A,PC,BMI_GE30,EL	17.6 	17.3 	11.6 	16.7 	12.0 
A,PC,BMI_GE30,ES	15.7 	16.7 	14.1 	16.0 	14.9 
A,PC,BMI_GE30,EU27_2007	: 	: 	15.2 e	: 	: 
A,PC,BMI_GE30,EU27_2020	: 	15.4 	14.9 	16.5 	14.8 e
A,PC,BMI_GE30,EU28	: 	15.9 	15.2 e	: 	: 
A,PC,BMI_GE30,FI	: 	18.3 	20.8 	20.9 	22.0 
A,PC,BMI_GE30,FR	12.2 	15.3 	15.3 	15.0 	15.2 
A,PC,BMI_GE30,HR	: 	18.7 	18.2 	23.0 	16.7 
A,PC,BMI_GE30,HU	20.0 	21.2 	20.0 	24.5 	22.2 
A,PC,BMI_GE30,IE	: 	18.7 	15.2 u	: u	19.6 u
A,PC,BMI_GE30,IS	: 	19.0 	21.4 	22.3 	: 
A,PC,BMI_GE30,IT	: 	10.8 	5.9 	11.7 	7.1 
A,PC,BMI_GE30,LT	: 	17.3 	17.5 	18.9 	20.6 u
A,PC,BMI_GE30,LU	: 	15.6 	16.0 	16.5 	17.0 
A,PC,BMI_GE30,LV	16.9 	21.3 	21.5 	23.0 	23.3 
A,PC,BMI_GE30,ME	: 	: 	: 	: 	7.8 
A,PC,BMI_GE30,MK	: 	: 	10.5 	: 	: 
A,PC,BMI_GE30,MT	22.9 u	26.0 	25.7 	28.7 	26.1 
A,PC,BMI_GE30,NL	: 	13.3 	13.0 	14.7 	13.8 
A,PC,BMI_GE30,NO	: 	13.1 	13.8 	14.1 	16.8 
A,PC,BMI_GE30,PL	16.4 	17.2 	16.9 	19.0 	18.6 u
A,PC,BMI_GE30,PT	: 	16.6 	15.7 	17.7 	15.8 
A,PC,BMI_GE30,RO	7.9 	9.4 	10.4 	10.9 	10.3 
A,PC,BMI_GE30,RS	: 	: 	13.3 	17.3 	11.7 
A,PC,BMI_GE30,SE	: 	14.0 	17.4 	15.3 	17.2 
A,PC,BMI_GE30,SI	16.8 	19.2 	17.3 	19.9 	17.9 
A,PC,BMI_GE30,SK	15.1 	16.3 	14.4 	19.7 	17.1 
A,PC,BMI_GE30,TR	16.2 	21.2 	: 	22.3 	: 
A,PC,BMI_GE30,UK	: 	20.1 	21.0 u	: 	: 
